,date,MCD stock,isPartial
7,2013-05-08,15.299999999999999,False
8,2013-05-09,27.9,False
9,2013-05-10,19.2,False
10,2013-05-11,14.399999999999999,False
11,2013-05-12,10.799999999999999,False
12,2013-05-13,6.0,False
13,2013-05-14,18.0,False
14,2013-05-15,12.0,False
15,2013-05-16,18.0,False
16,2013-05-17,22.2,False
17,2013-05-18,7.199999999999999,False
18,2013-05-19,28.799999999999997,False
19,2013-05-20,30.0,False
20,2013-05-21,17.4,False
21,2013-05-22,15.0,False
22,2013-05-23,21.0,False
23,2013-05-24,6.3,False
24,2013-05-25,14.7,False
25,2013-05-26,0.0,False
26,2013-05-27,6.3,False
27,2013-05-28,8.7,False
28,2013-05-29,17.7,False
29,2013-05-30,15.299999999999999,False
30,2013-05-31,15.6,False
0,2013-06-01,9.620000000000001,False
1,2013-06-02,0.0,False
2,2013-06-03,15.600000000000001,False
3,2013-06-04,13.26,False
4,2013-06-05,10.66,False
5,2013-06-06,5.46,False
6,2013-06-07,11.18,False
7,2013-06-08,6.5,False
8,2013-06-09,6.5,False
9,2013-06-10,26.0,False
10,2013-06-11,10.4,False
11,2013-06-12,5.46,False
12,2013-06-13,13.26,False
13,2013-06-14,11.440000000000001,False
14,2013-06-15,0.0,False
15,2013-06-16,6.5,False
16,2013-06-17,10.66,False
17,2013-06-18,13.26,False
18,2013-06-19,15.860000000000001,False
19,2013-06-20,18.98,False
20,2013-06-21,16.900000000000002,False
21,2013-06-22,13.26,False
22,2013-06-23,0.0,False
23,2013-06-24,10.66,False
24,2013-06-25,18.72,False
25,2013-06-26,24.18,False
26,2013-06-27,16.12,False
27,2013-06-28,5.720000000000001,False
28,2013-06-29,10.14,False
29,2013-06-30,13.0,False
0,2013-07-01,10.85,False
1,2013-07-02,16.43,False
2,2013-07-03,10.85,False
3,2013-07-04,5.89,False
4,2013-07-05,11.78,False
5,2013-07-06,10.23,False
6,2013-07-07,0.0,False
7,2013-07-08,7.13,False
8,2013-07-09,16.43,False
9,2013-07-10,9.3,False
10,2013-07-11,13.02,False
11,2013-07-12,15.5,False
12,2013-07-13,6.82,False
13,2013-07-14,6.51,False
14,2013-07-15,16.43,False
15,2013-07-16,12.709999999999999,False
16,2013-07-17,14.879999999999999,False
17,2013-07-18,13.02,False
18,2013-07-19,17.36,False
19,2013-07-20,6.82,False
20,2013-07-21,0.0,False
21,2013-07-22,31.0,False
22,2013-07-23,21.39,False
23,2013-07-24,18.29,False
24,2013-07-25,13.02,False
25,2013-07-26,13.33,False
26,2013-07-27,9.92,False
27,2013-07-28,9.92,False
28,2013-07-29,8.06,False
29,2013-07-30,16.12,False
30,2013-07-31,12.709999999999999,False
0,2013-08-01,6.4799999999999995,False
1,2013-08-02,15.36,False
2,2013-08-03,7.92,False
3,2013-08-04,6.0,False
4,2013-08-05,13.2,False
5,2013-08-06,4.8,False
6,2013-08-07,19.68,False
7,2013-08-08,5.04,False
8,2013-08-09,13.92,False
9,2013-08-10,8.879999999999999,False
10,2013-08-11,6.0,False
11,2013-08-12,11.28,False
12,2013-08-13,14.399999999999999,False
13,2013-08-14,7.4399999999999995,False
14,2013-08-15,24.0,False
15,2013-08-16,8.64,False
16,2013-08-17,11.76,False
17,2013-08-18,5.76,False
18,2013-08-19,12.719999999999999,False
19,2013-08-20,6.24,False
20,2013-08-21,4.8,False
21,2013-08-22,14.639999999999999,False
22,2013-08-23,17.52,False
23,2013-08-24,0.0,False
24,2013-08-25,5.76,False
25,2013-08-26,9.36,False
26,2013-08-27,10.799999999999999,False
27,2013-08-28,11.76,False
28,2013-08-29,7.92,False
29,2013-08-30,9.84,False
30,2013-08-31,7.4399999999999995,False
0,2013-09-01,0.0,False
1,2013-09-02,8.64,False
2,2013-09-03,9.18,False
3,2013-09-04,11.07,False
4,2013-09-05,18.900000000000002,False
5,2013-09-06,13.770000000000001,False
6,2013-09-07,8.91,False
7,2013-09-08,8.64,False
8,2013-09-09,7.290000000000001,False
9,2013-09-10,27.0,False
10,2013-09-11,12.690000000000001,False
11,2013-09-12,9.18,False
12,2013-09-13,7.5600000000000005,False
13,2013-09-14,12.96,False
14,2013-09-15,6.48,False
15,2013-09-16,10.8,False
16,2013-09-17,14.31,False
17,2013-09-18,21.87,False
18,2013-09-19,14.850000000000001,False
19,2013-09-20,7.83,False
20,2013-09-21,6.48,False
21,2013-09-22,6.48,False
22,2013-09-23,9.18,False
23,2013-09-24,14.580000000000002,False
24,2013-09-25,11.07,False
25,2013-09-26,11.07,False
26,2013-09-27,17.28,False
27,2013-09-28,9.99,False
28,2013-09-29,6.48,False
29,2013-09-30,7.0200000000000005,False
0,2013-10-01,19.380000000000003,False
1,2013-10-02,12.920000000000002,False
2,2013-10-03,19.720000000000002,False
3,2013-10-04,13.600000000000001,False
4,2013-10-05,11.56,False
5,2013-10-06,7.48,False
6,2013-10-07,17.34,False
7,2013-10-08,17.34,False
8,2013-10-09,9.860000000000001,False
9,2013-10-10,28.560000000000002,False
10,2013-10-11,13.600000000000001,False
11,2013-10-12,13.260000000000002,False
12,2013-10-13,0.0,False
13,2013-10-14,6.460000000000001,False
14,2013-10-15,15.3,False
15,2013-10-16,26.520000000000003,False
16,2013-10-17,19.720000000000002,False
17,2013-10-18,25.16,False
18,2013-10-19,11.56,False
19,2013-10-20,7.48,False
20,2013-10-21,34.0,False
21,2013-10-22,19.040000000000003,False
22,2013-10-23,14.96,False
23,2013-10-24,10.88,False
24,2013-10-25,13.600000000000001,False
25,2013-10-26,7.82,False
26,2013-10-27,0.0,False
27,2013-10-28,12.58,False
28,2013-10-29,10.540000000000001,False
29,2013-10-30,17.34,False
30,2013-10-31,24.48,False
0,2013-11-01,26.66,False
1,2013-11-02,5.89,False
2,2013-11-03,0.0,False
3,2013-11-04,12.09,False
4,2013-11-05,14.57,False
5,2013-11-06,14.57,False
6,2013-11-07,22.32,False
7,2013-11-08,17.98,False
8,2013-11-09,5.89,False
9,2013-11-10,0.0,False
10,2013-11-11,14.57,False
11,2013-11-12,14.57,False
12,2013-11-13,9.92,False
13,2013-11-14,22.01,False
14,2013-11-15,31.0,False
15,2013-11-16,17.36,False
16,2013-11-17,5.58,False
17,2013-11-18,19.22,False
18,2013-11-19,14.26,False
19,2013-11-20,14.26,False
20,2013-11-21,19.53,False
21,2013-11-22,17.669999999999998,False
22,2013-11-23,8.37,False
23,2013-11-24,11.16,False
24,2013-11-25,14.26,False
25,2013-11-26,9.61,False
26,2013-11-27,12.09,False
27,2013-11-28,10.23,False
28,2013-11-29,5.27,False
29,2013-11-30,11.47,False
0,2013-12-01,6.76,False
1,2013-12-02,6.5,False
2,2013-12-03,13.52,False
3,2013-12-04,16.12,False
4,2013-12-05,15.08,False
5,2013-12-06,26.0,False
6,2013-12-07,4.94,False
7,2013-12-08,7.28,False
8,2013-12-09,10.92,False
9,2013-12-10,18.98,False
10,2013-12-11,12.22,False
11,2013-12-12,12.48,False
12,2013-12-13,8.84,False
13,2013-12-14,6.5,False
14,2013-12-15,4.94,False
15,2013-12-16,9.620000000000001,False
16,2013-12-17,12.74,False
17,2013-12-18,9.88,False
18,2013-12-19,14.56,False
19,2013-12-20,16.12,False
20,2013-12-21,13.52,False
21,2013-12-22,5.2,False
22,2013-12-23,16.900000000000002,False
23,2013-12-24,12.48,False
24,2013-12-25,11.18,False
25,2013-12-26,10.92,False
26,2013-12-27,10.66,False
27,2013-12-28,10.14,False
28,2013-12-29,4.94,False
29,2013-12-30,10.4,False
30,2013-12-31,13.52,False
0,2014-01-01,5.89,False
1,2014-01-02,9.61,False
2,2014-01-03,7.13,False
3,2014-01-04,10.54,False
4,2014-01-05,13.33,False
5,2014-01-06,11.47,False
6,2014-01-07,8.99,False
7,2014-01-08,8.99,False
8,2014-01-09,6.82,False
9,2014-01-10,9.3,False
10,2014-01-11,10.54,False
11,2014-01-12,7.75,False
12,2014-01-13,8.68,False
13,2014-01-14,11.16,False
14,2014-01-15,6.51,False
15,2014-01-16,11.16,False
16,2014-01-17,13.95,False
17,2014-01-18,5.27,False
