,date,MAT stock,isPartial
29,2013-07-30,11.610000000000001,False
30,2013-07-31,23.76,False
0,2013-08-01,0.0,False
1,2013-08-02,17.82,False
2,2013-08-03,0.0,False
3,2013-08-04,20.520000000000003,False
4,2013-08-05,16.740000000000002,False
5,2013-08-06,11.07,False
6,2013-08-07,0.0,False
7,2013-08-08,25.92,False
8,2013-08-09,27.0,False
9,2013-08-10,10.260000000000002,False
10,2013-08-11,0.0,False
11,2013-08-12,8.370000000000001,False
12,2013-08-13,8.370000000000001,False
13,2013-08-14,8.370000000000001,False
14,2013-08-15,17.55,False
15,2013-08-16,8.91,False
16,2013-08-17,9.99,False
17,2013-08-18,9.99,False
18,2013-08-19,0.0,False
19,2013-08-20,0.0,False
20,2013-08-21,16.470000000000002,False
21,2013-08-22,16.740000000000002,False
22,2013-08-23,8.64,False
23,2013-08-24,9.99,False
24,2013-08-25,14.850000000000001,False
25,2013-08-26,8.100000000000001,False
26,2013-08-27,8.100000000000001,False
27,2013-08-28,8.100000000000001,False
28,2013-08-29,19.98,False
29,2013-08-30,12.690000000000001,False
30,2013-08-31,14.580000000000002,False
0,2013-09-01,8.8,False
1,2013-09-02,7.48,False
2,2013-09-03,0.0,False
3,2013-09-04,14.74,False
4,2013-09-05,14.96,False
5,2013-09-06,7.7,False
6,2013-09-07,0.0,False
7,2013-09-08,8.58,False
8,2013-09-09,10.78,False
9,2013-09-10,7.26,False
10,2013-09-11,22.0,False
11,2013-09-12,7.26,False
12,2013-09-13,11.22,False
13,2013-09-14,8.58,False
14,2013-09-15,8.36,False
15,2013-09-16,0.0,False
16,2013-09-17,7.04,False
17,2013-09-18,7.26,False
18,2013-09-19,0.0,False
19,2013-09-20,7.7,False
20,2013-09-21,0.0,False
21,2013-09-22,0.0,False
22,2013-09-23,14.52,False
23,2013-09-24,7.26,False
24,2013-09-25,14.74,False
25,2013-09-26,7.26,False
26,2013-09-27,15.4,False
27,2013-09-28,8.58,False
28,2013-09-29,12.540000000000001,False
29,2013-09-30,14.08,False
0,2013-10-01,9.24,False
1,2013-10-02,24.080000000000002,False
2,2013-10-03,9.520000000000001,False
3,2013-10-04,0.0,False
4,2013-10-05,0.0,False
5,2013-10-06,0.0,False
6,2013-10-07,9.520000000000001,False
7,2013-10-08,19.040000000000003,False
8,2013-10-09,19.040000000000003,False
