,date,MSFT stock,isPartial
5,2014-03-06,11.36,False
6,2014-03-07,12.64,False
7,2014-03-08,5.6000000000000005,False
8,2014-03-09,4.96,False
9,2014-03-10,10.88,False
10,2014-03-11,8.32,False
11,2014-03-12,11.36,False
12,2014-03-13,8.32,False
13,2014-03-14,6.24,False
14,2014-03-15,2.88,False
15,2014-03-16,2.72,False
16,2014-03-17,7.2,False
17,2014-03-18,16.0,False
18,2014-03-19,14.24,False
19,2014-03-20,15.68,False
20,2014-03-21,11.36,False
21,2014-03-22,2.88,False
22,2014-03-23,2.72,False
23,2014-03-24,9.28,False
24,2014-03-25,11.040000000000001,False
25,2014-03-26,10.08,False
26,2014-03-27,15.040000000000001,False
27,2014-03-28,15.52,False
28,2014-03-29,7.04,False
29,2014-03-30,2.72,False
30,2014-03-31,10.56,False
0,2014-04-01,11.040000000000001,False
1,2014-04-02,8.16,False
2,2014-04-03,9.120000000000001,False
3,2014-04-04,13.76,False
4,2014-04-05,6.08,False
5,2014-04-06,2.4,False
6,2014-04-07,8.0,False
7,2014-04-08,13.120000000000001,False
8,2014-04-09,11.200000000000001,False
9,2014-04-10,7.68,False
10,2014-04-11,6.5600000000000005,False
11,2014-04-12,6.72,False
12,2014-04-13,3.68,False
13,2014-04-14,10.72,False
14,2014-04-15,8.16,False
15,2014-04-16,7.36,False
16,2014-04-17,9.76,False
17,2014-04-18,5.28,False
18,2014-04-19,1.28,False
19,2014-04-20,1.92,False
20,2014-04-21,4.96,False
21,2014-04-22,8.64,False
22,2014-04-23,9.76,False
23,2014-04-24,16.0,False
24,2014-04-25,9.76,False
25,2014-04-26,5.44,False
26,2014-04-27,1.12,False
27,2014-04-28,13.120000000000001,False
28,2014-04-29,12.0,False
29,2014-04-30,10.88,False
0,2014-05-01,9.299999999999999,False
1,2014-05-02,10.049999999999999,False
2,2014-05-03,2.6999999999999997,False
3,2014-05-04,6.1499999999999995,False
4,2014-05-05,12.299999999999999,False
5,2014-05-06,7.35,False
6,2014-05-07,9.9,False
7,2014-05-08,8.549999999999999,False
8,2014-05-09,10.049999999999999,False
9,2014-05-10,3.9,False
10,2014-05-11,4.35,False
11,2014-05-12,8.7,False
12,2014-05-13,10.5,False
13,2014-05-14,10.95,False
14,2014-05-15,12.15,False
15,2014-05-16,11.85,False
16,2014-05-17,6.75,False
17,2014-05-18,5.7,False
18,2014-05-19,9.6,False
