,date,DIS stock,isPartial
22,2013-07-23,10.66,False
23,2013-07-24,4.29,False
24,2013-07-25,2.21,False
25,2013-07-26,4.55,False
26,2013-07-27,0.0,False
27,2013-07-28,0.0,False
28,2013-07-29,4.29,False
29,2013-07-30,10.66,False
30,2013-07-31,13.0,False
0,2013-08-01,0.0,False
1,2013-08-02,3.77,False
2,2013-08-03,2.21,False
3,2013-08-04,4.42,False
4,2013-08-05,7.28,False
5,2013-08-06,9.1,False
6,2013-08-07,12.74,False
7,2013-08-08,13.0,False
8,2013-08-09,9.49,False
9,2013-08-10,0.0,False
10,2013-08-11,0.0,False
11,2013-08-12,0.0,False
12,2013-08-13,5.33,False
13,2013-08-14,5.46,False
14,2013-08-15,1.9500000000000002,False
15,2013-08-16,3.77,False
16,2013-08-17,2.21,False
17,2013-08-18,4.29,False
18,2013-08-19,7.0200000000000005,False
19,2013-08-20,1.82,False
20,2013-08-21,10.530000000000001,False
21,2013-08-22,1.82,False
22,2013-08-23,3.64,False
23,2013-08-24,4.29,False
24,2013-08-25,0.0,False
25,2013-08-26,3.38,False
26,2013-08-27,1.69,False
27,2013-08-28,6.890000000000001,False
28,2013-08-29,3.5100000000000002,False
29,2013-08-30,0.0,False
30,2013-08-31,2.08,False
0,2013-09-01,4.5,False
1,2013-09-02,1.9000000000000001,False
2,2013-09-03,3.7,False
3,2013-09-04,7.5,False
4,2013-09-05,1.9000000000000001,False
5,2013-09-06,4.9,False
6,2013-09-07,2.3000000000000003,False
7,2013-09-08,2.2,False
8,2013-09-09,2.8000000000000003,False
9,2013-09-10,10.0,False
10,2013-09-11,6.5,False
11,2013-09-12,7.4,False
12,2013-09-13,7.7,False
13,2013-09-14,6.7,False
14,2013-09-15,2.2,False
15,2013-09-16,5.5,False
16,2013-09-17,8.200000000000001,False
17,2013-09-18,9.200000000000001,False
18,2013-09-19,4.7,False
19,2013-09-20,3.9000000000000004,False
20,2013-09-21,2.2,False
21,2013-09-22,2.2,False
22,2013-09-23,8.3,False
23,2013-09-24,2.7,False
24,2013-09-25,9.3,False
25,2013-09-26,3.8000000000000003,False
26,2013-09-27,9.8,False
27,2013-09-28,3.3000000000000003,False
28,2013-09-29,0.0,False
29,2013-09-30,5.5,False
0,2013-10-01,10.71,False
1,2013-10-02,2.21,False
2,2013-10-03,8.84,False
3,2013-10-04,11.39,False
4,2013-10-05,5.2700000000000005,False
5,2013-10-06,7.65,False
6,2013-10-07,8.67,False
7,2013-10-08,2.21,False
8,2013-10-09,15.3,False
9,2013-10-10,13.260000000000002,False
10,2013-10-11,4.590000000000001,False
11,2013-10-12,2.72,False
12,2013-10-13,2.5500000000000003,False
13,2013-10-14,11.05,False
14,2013-10-15,4.42,False
15,2013-10-16,6.630000000000001,False
16,2013-10-17,2.21,False
17,2013-10-18,9.180000000000001,False
18,2013-10-19,5.2700000000000005,False
19,2013-10-20,10.200000000000001,False
20,2013-10-21,4.25,False
21,2013-10-22,17.0,False
22,2013-10-23,10.71,False
