,date,GS stock,isPartial
20,2013-08-21,7.84,False
21,2013-08-22,4.8,False
22,2013-08-23,6.5600000000000005,False
23,2013-08-24,3.68,False
24,2013-08-25,3.68,False
25,2013-08-26,12.16,False
26,2013-08-27,8.96,False
27,2013-08-28,5.92,False
28,2013-08-29,6.24,False
29,2013-08-30,16.0,False
30,2013-08-31,0.0,False
0,2013-09-01,9.0,False
1,2013-09-02,0.0,False
2,2013-09-03,3.75,False
3,2013-09-04,15.0,False
4,2013-09-05,0.0,False
5,2013-09-06,0.0,False
6,2013-09-07,13.5,False
7,2013-09-08,4.35,False
8,2013-09-09,11.1,False
9,2013-09-10,9.15,False
10,2013-09-11,5.55,False
11,2013-09-12,7.35,False
12,2013-09-13,13.5,False
13,2013-09-14,4.35,False
14,2013-09-15,0.0,False
15,2013-09-16,7.35,False
16,2013-09-17,7.35,False
17,2013-09-18,11.1,False
18,2013-09-19,14.85,False
19,2013-09-20,3.9,False
20,2013-09-21,8.85,False
21,2013-09-22,0.0,False
22,2013-09-23,3.75,False
23,2013-09-24,7.35,False
24,2013-09-25,7.5,False
25,2013-09-26,3.75,False
26,2013-09-27,11.7,False
27,2013-09-28,0.0,False
28,2013-09-29,0.0,False
29,2013-09-30,5.3999999999999995,False
0,2013-10-01,13.49,False
1,2013-10-02,6.84,False
2,2013-10-03,10.45,False
3,2013-10-04,13.3,False
4,2013-10-05,9.120000000000001,False
5,2013-10-06,5.89,False
6,2013-10-07,12.73,False
7,2013-10-08,11.78,False
8,2013-10-09,15.39,False
9,2013-10-10,8.55,False
10,2013-10-11,12.540000000000001,False
11,2013-10-12,12.35,False
12,2013-10-13,6.08,False
13,2013-10-14,5.13,False
14,2013-10-15,11.97,False
15,2013-10-16,19.0,False
16,2013-10-17,15.58,False
17,2013-10-18,16.15,False
18,2013-10-19,7.98,False
19,2013-10-20,5.89,False
20,2013-10-21,10.07,False
21,2013-10-22,11.59,False
22,2013-10-23,9.88,False
