,date,PFE stock,isPartial
21,2013-08-22,5.04,False
22,2013-08-23,13.44,False
23,2013-08-24,6.09,False
24,2013-08-25,0.0,False
25,2013-08-26,7.35,False
26,2013-08-27,0.0,False
27,2013-08-28,2.52,False
28,2013-08-29,9.87,False
29,2013-08-30,21.0,False
30,2013-08-31,0.0,False
0,2013-09-01,5.1000000000000005,False
1,2013-09-02,8.67,False
2,2013-09-03,8.33,False
3,2013-09-04,16.830000000000002,False
4,2013-09-05,4.25,False
5,2013-09-06,4.42,False
6,2013-09-07,5.1000000000000005,False
7,2013-09-08,4.930000000000001,False
8,2013-09-09,8.33,False
9,2013-09-10,8.16,False
10,2013-09-11,12.58,False
11,2013-09-12,4.08,False
12,2013-09-13,12.920000000000002,False
13,2013-09-14,0.0,False
14,2013-09-15,0.0,False
15,2013-09-16,12.41,False
16,2013-09-17,8.16,False
17,2013-09-18,4.08,False
18,2013-09-19,17.0,False
19,2013-09-20,8.84,False
20,2013-09-21,0.0,False
21,2013-09-22,4.930000000000001,False
22,2013-09-23,8.16,False
23,2013-09-24,8.16,False
24,2013-09-25,12.58,False
25,2013-09-26,0.0,False
26,2013-09-27,8.84,False
27,2013-09-28,0.0,False
28,2013-09-29,4.930000000000001,False
29,2013-09-30,4.08,False
0,2013-10-01,4.0,False
1,2013-10-02,0.0,False
2,2013-10-03,4.2,False
3,2013-10-04,8.6,False
4,2013-10-05,5.0,False
5,2013-10-06,4.800000000000001,False
6,2013-10-07,4.2,False
7,2013-10-08,16.2,False
8,2013-10-09,0.0,False
9,2013-10-10,12.600000000000001,False
10,2013-10-11,13.0,False
11,2013-10-12,10.200000000000001,False
12,2013-10-13,0.0,False
13,2013-10-14,12.600000000000001,False
14,2013-10-15,4.2,False
15,2013-10-16,0.0,False
16,2013-10-17,12.8,False
17,2013-10-18,8.8,False
18,2013-10-19,5.0,False
19,2013-10-20,4.800000000000001,False
20,2013-10-21,8.0,False
21,2013-10-22,8.0,False
22,2013-10-23,8.0,False
23,2013-10-24,8.200000000000001,False
24,2013-10-25,8.6,False
25,2013-10-26,0.0,False
26,2013-10-27,0.0,False
27,2013-10-28,8.0,False
28,2013-10-29,20.0,False
29,2013-10-30,12.200000000000001,False
30,2013-10-31,4.2,False
0,2013-11-01,7.56,False
1,2013-11-02,2.6999999999999997,False
2,2013-11-03,0.0,False
3,2013-11-04,6.84,False
4,2013-11-05,2.34,False
5,2013-11-06,2.34,False
6,2013-11-07,9.18,False
7,2013-11-08,2.34,False
8,2013-11-09,2.6999999999999997,False
9,2013-11-10,2.6999999999999997,False
10,2013-11-11,0.0,False
11,2013-11-12,4.5,False
12,2013-11-13,4.5,False
13,2013-11-14,6.84,False
14,2013-11-15,4.859999999999999,False
15,2013-11-16,0.0,False
16,2013-11-17,5.3999999999999995,False
17,2013-11-18,18.0,False
18,2013-11-19,4.5,False
19,2013-11-20,4.5,False
20,2013-11-21,4.68,False
21,2013-11-22,7.02,False
22,2013-11-23,2.6999999999999997,False
23,2013-11-24,5.22,False
24,2013-11-25,11.16,False
25,2013-11-26,4.5,False
26,2013-11-27,4.5,False
27,2013-11-28,0.0,False
28,2013-11-29,2.52,False
29,2013-11-30,8.1,False
0,2013-12-01,0.0,False
1,2013-12-02,2.55,False
2,2013-12-03,13.35,False
3,2013-12-04,5.3999999999999995,False
4,2013-12-05,0.0,False
5,2013-12-06,5.55,False
6,2013-12-07,3.15,False
7,2013-12-08,0.0,False
8,2013-12-09,2.6999999999999997,False
9,2013-12-10,5.3999999999999995,False
10,2013-12-11,5.3999999999999995,False
11,2013-12-12,2.6999999999999997,False
12,2013-12-13,8.7,False
13,2013-12-14,3.3,False
14,2013-12-15,0.0,False
15,2013-12-16,8.25,False
16,2013-12-17,2.6999999999999997,False
17,2013-12-18,5.55,False
18,2013-12-19,5.7,False
19,2013-12-20,15.0,False
20,2013-12-21,0.0,False
21,2013-12-22,0.0,False
22,2013-12-23,0.0,False
23,2013-12-24,3.3,False
24,2013-12-25,10.95,False
25,2013-12-26,6.3,False
26,2013-12-27,3.0,False
27,2013-12-28,3.3,False
28,2013-12-29,3.3,False
29,2013-12-30,3.0,False
30,2013-12-31,0.0,False
0,2014-01-01,10.8,False
1,2014-01-02,13.200000000000001,False
2,2014-01-03,11.0,False
3,2014-01-04,5.0,False
4,2014-01-05,9.8,False
5,2014-01-06,12.8,False
6,2014-01-07,8.200000000000001,False
7,2014-01-08,8.200000000000001,False
8,2014-01-09,18.6,False
9,2014-01-10,8.6,False
10,2014-01-11,7.2,False
11,2014-01-12,4.800000000000001,False
12,2014-01-13,12.0,False
13,2014-01-14,16.400000000000002,False
14,2014-01-15,10.200000000000001,False
15,2014-01-16,4.2,False
16,2014-01-17,10.600000000000001,False
17,2014-01-18,5.0,False
18,2014-01-19,0.0,False
19,2014-01-20,0.0,False
20,2014-01-21,0.0,False
21,2014-01-22,8.0,False
22,2014-01-23,14.200000000000001,False
23,2014-01-24,10.600000000000001,False
24,2014-01-25,9.4,False
25,2014-01-26,0.0,False
26,2014-01-27,12.0,False
27,2014-01-28,20.0,False
28,2014-01-29,8.0,False
29,2014-01-30,16.400000000000002,False
30,2014-01-31,17.0,False
0,2014-02-01,9.89,False
1,2014-02-02,0.0,False
