,date,INTC stock,isPartial
13,2013-02-14,2.28,False
14,2013-02-15,0.0,False
15,2013-02-16,0.0,False
16,2013-02-17,0.0,False
17,2013-02-18,6.84,False
18,2013-02-19,4.4399999999999995,False
19,2013-02-20,11.28,False
20,2013-02-21,9.12,False
21,2013-02-22,4.68,False
22,2013-02-23,5.279999999999999,False
23,2013-02-24,0.0,False
24,2013-02-25,10.92,False
25,2013-02-26,2.16,False
26,2013-02-27,8.879999999999999,False
27,2013-02-28,6.72,False
0,2013-03-01,6.3,False
1,2013-03-02,0.0,False
2,2013-03-03,2.4,False
3,2013-03-04,9.9,False
4,2013-03-05,6.0,False
5,2013-03-06,10.799999999999999,False
6,2013-03-07,15.0,False
7,2013-03-08,9.299999999999999,False
8,2013-03-09,2.25,False
9,2013-03-10,2.25,False
10,2013-03-11,6.75,False
11,2013-03-12,10.65,False
12,2013-03-13,5.85,False
13,2013-03-14,3.0,False
14,2013-03-15,6.1499999999999995,False
15,2013-03-16,2.25,False
16,2013-03-17,11.4,False
17,2013-03-18,4.8,False
18,2013-03-19,8.7,False
19,2013-03-20,8.85,False
20,2013-03-21,3.9,False
21,2013-03-22,8.1,False
22,2013-03-23,4.6499999999999995,False
23,2013-03-24,4.6499999999999995,False
24,2013-03-25,3.0,False
25,2013-03-26,5.85,False
26,2013-03-27,12.15,False
27,2013-03-28,6.3,False
28,2013-03-29,5.7,False
29,2013-03-30,4.8,False
30,2013-03-31,3.75,False
0,2013-04-01,10.25,False
1,2013-04-02,7.5,False
2,2013-04-03,8.75,False
3,2013-04-04,6.5,False
4,2013-04-05,12.5,False
5,2013-04-06,5.25,False
6,2013-04-07,2.5,False
7,2013-04-08,8.5,False
8,2013-04-09,8.5,False
9,2013-04-10,16.25,False
10,2013-04-11,15.25,False
11,2013-04-12,13.75,False
12,2013-04-13,5.25,False
13,2013-04-14,6.5,False
14,2013-04-15,5.5,False
15,2013-04-16,15.25,False
16,2013-04-17,25.0,False
17,2013-04-18,18.75,False
18,2013-04-19,11.25,False
19,2013-04-20,10.5,False
20,2013-04-21,2.5,False
21,2013-04-22,7.5,False
22,2013-04-23,20.75,False
23,2013-04-24,14.25,False
24,2013-04-25,17.0,False
25,2013-04-26,6.75,False
26,2013-04-27,5.25,False
27,2013-04-28,7.75,False
28,2013-04-29,8.75,False
29,2013-04-30,21.0,False
0,2013-05-01,17.86,False
1,2013-05-02,14.06,False
2,2013-05-03,17.48,False
3,2013-05-04,7.6,False
4,2013-05-05,3.04,False
5,2013-05-06,15.39,False
6,2013-05-07,13.870000000000001,False
7,2013-05-08,14.06,False
8,2013-05-09,11.78,False
9,2013-05-10,6.65,False
10,2013-05-11,7.6,False
11,2013-05-12,0.0,False
12,2013-05-13,18.81,False
13,2013-05-14,6.08,False
14,2013-05-15,13.68,False
15,2013-05-16,19.0,False
16,2013-05-17,17.1,False
17,2013-05-18,15.2,False
18,2013-05-19,3.04,False
19,2013-05-20,8.74,False
20,2013-05-21,15.96,False
21,2013-05-22,8.74,False
22,2013-05-23,11.21,False
23,2013-05-24,6.46,False
24,2013-05-25,0.0,False
25,2013-05-26,7.6,False
26,2013-05-27,2.66,False
27,2013-05-28,11.02,False
28,2013-05-29,17.29,False
29,2013-05-30,11.4,False
30,2013-05-31,6.65,False
0,2013-06-01,5.04,False
1,2013-06-02,5.04,False
2,2013-06-03,16.56,False
3,2013-06-04,16.74,False
4,2013-06-05,11.52,False
5,2013-06-06,10.62,False
6,2013-06-07,17.28,False
7,2013-06-08,5.04,False
8,2013-06-09,2.52,False
9,2013-06-10,7.199999999999999,False
10,2013-06-11,14.399999999999999,False
11,2013-06-12,6.3,False
12,2013-06-13,13.68,False
13,2013-06-14,13.32,False
14,2013-06-15,5.22,False
15,2013-06-16,2.52,False
16,2013-06-17,5.22,False
17,2013-06-18,11.52,False
18,2013-06-19,16.919999999999998,False
19,2013-06-20,18.0,False
20,2013-06-21,12.24,False
21,2013-06-22,2.52,False
22,2013-06-23,2.52,False
23,2013-06-24,13.5,False
24,2013-06-25,10.44,False
25,2013-06-26,4.14,False
26,2013-06-27,8.459999999999999,False
27,2013-06-28,11.16,False
28,2013-06-29,2.52,False
29,2013-06-30,5.04,False
0,2013-07-01,7.6,False
1,2013-07-02,11.78,False
2,2013-07-03,6.84,False
3,2013-07-04,2.09,False
4,2013-07-05,10.64,False
5,2013-07-06,4.94,False
6,2013-07-07,2.47,False
7,2013-07-08,7.79,False
8,2013-07-09,8.74,False
9,2013-07-10,15.01,False
10,2013-07-11,10.07,False
11,2013-07-12,4.18,False
12,2013-07-13,2.47,False
13,2013-07-14,3.61,False
14,2013-07-15,5.89,False
15,2013-07-16,6.84,False
16,2013-07-17,9.88,False
17,2013-07-18,19.0,False
18,2013-07-19,8.36,False
19,2013-07-20,3.61,False
20,2013-07-21,4.94,False
21,2013-07-22,10.83,False
22,2013-07-23,9.69,False
23,2013-07-24,8.93,False
24,2013-07-25,7.98,False
25,2013-07-26,7.22,False
26,2013-07-27,0.0,False
27,2013-07-28,4.75,False
28,2013-07-29,10.64,False
29,2013-07-30,8.74,False
30,2013-07-31,9.88,False
0,2013-08-01,11.4,False
1,2013-08-02,11.97,False
2,2013-08-03,2.85,False
3,2013-08-04,5.51,False
4,2013-08-05,13.68,False
5,2013-08-06,18.43,False
6,2013-08-07,13.68,False
7,2013-08-08,4.75,False
8,2013-08-09,19.0,False
9,2013-08-10,2.85,False
10,2013-08-11,0.0,False
11,2013-08-12,6.84,False
12,2013-08-13,6.65,False
13,2013-08-14,11.4,False
14,2013-08-15,4.75,False
15,2013-08-16,9.5,False
16,2013-08-17,2.66,False
17,2013-08-18,0.0,False
18,2013-08-19,11.02,False
19,2013-08-20,11.21,False
20,2013-08-21,13.3,False
21,2013-08-22,13.68,False
22,2013-08-23,4.5600000000000005,False
23,2013-08-24,2.66,False
24,2013-08-25,7.98,False
25,2013-08-26,4.37,False
26,2013-08-27,17.1,False
27,2013-08-28,4.37,False
28,2013-08-29,13.3,False
29,2013-08-30,11.59,False
30,2013-08-31,0.0,False
0,2013-09-01,4.32,False
1,2013-09-02,1.76,False
2,2013-09-03,8.96,False
3,2013-09-04,7.2,False
4,2013-09-05,9.120000000000001,False
5,2013-09-06,7.5200000000000005,False
6,2013-09-07,2.24,False
7,2013-09-08,0.0,False
8,2013-09-09,1.76,False
9,2013-09-10,5.28,False
10,2013-09-11,3.52,False
11,2013-09-12,8.96,False
12,2013-09-13,14.88,False
13,2013-09-14,10.72,False
14,2013-09-15,4.16,False
15,2013-09-16,12.32,False
16,2013-09-17,10.56,False
17,2013-09-18,3.52,False
18,2013-09-19,16.0,False
19,2013-09-20,9.44,False
20,2013-09-21,4.16,False
21,2013-09-22,4.16,False
22,2013-09-23,8.96,False
23,2013-09-24,8.8,False
24,2013-09-25,3.52,False
25,2013-09-26,7.36,False
26,2013-09-27,3.84,False
27,2013-09-28,4.32,False
28,2013-09-29,2.08,False
29,2013-09-30,5.28,False
0,2013-10-01,11.9,False
1,2013-10-02,12.07,False
2,2013-10-03,11.05,False
3,2013-10-04,2.5500000000000003,False
4,2013-10-05,5.78,False
5,2013-10-06,0.0,False
6,2013-10-07,7.140000000000001,False
7,2013-10-08,7.140000000000001,False
8,2013-10-09,8.5,False
9,2013-10-10,12.24,False
10,2013-10-11,11.39,False
11,2013-10-12,0.0,False
12,2013-10-13,8.67,False
13,2013-10-14,13.430000000000001,False
14,2013-10-15,15.98,False
15,2013-10-16,17.0,False
16,2013-10-17,8.67,False
17,2013-10-18,15.3,False
18,2013-10-19,0.0,False
19,2013-10-20,0.0,False
20,2013-10-21,11.9,False
21,2013-10-22,12.920000000000002,False
22,2013-10-23,8.33,False
23,2013-10-24,12.07,False
24,2013-10-25,11.22,False
25,2013-10-26,2.89,False
26,2013-10-27,0.0,False
27,2013-10-28,13.940000000000001,False
28,2013-10-29,12.920000000000002,False
29,2013-10-30,15.64,False
30,2013-10-31,9.860000000000001,False
0,2013-11-01,7.2,False
1,2013-11-02,0.0,False
2,2013-11-03,0.0,False
3,2013-11-04,5.92,False
4,2013-11-05,8.8,False
5,2013-11-06,8.16,False
6,2013-11-07,7.5200000000000005,False
7,2013-11-08,3.84,False
8,2013-11-09,2.72,False
9,2013-11-10,1.76,False
10,2013-11-11,9.6,False
11,2013-11-12,4.32,False
12,2013-11-13,5.12,False
13,2013-11-14,6.72,False
14,2013-11-15,6.24,False
15,2013-11-16,1.76,False
16,2013-11-17,5.12,False
17,2013-11-18,2.24,False
18,2013-11-19,5.12,False
19,2013-11-20,2.24,False
20,2013-11-21,9.6,False
21,2013-11-22,16.0,False
22,2013-11-23,8.64,False
23,2013-11-24,1.76,False
24,2013-11-25,10.08,False
25,2013-11-26,5.76,False
26,2013-11-27,6.5600000000000005,False
27,2013-11-28,4.64,False
28,2013-11-29,5.44,False
29,2013-11-30,0.0,False
0,2013-12-01,2.3800000000000003,False
1,2013-12-02,7.140000000000001,False
2,2013-12-03,10.370000000000001,False
3,2013-12-04,12.58,False
4,2013-12-05,10.540000000000001,False
5,2013-12-06,7.65,False
6,2013-12-07,3.74,False
7,2013-12-08,4.930000000000001,False
8,2013-12-09,8.33,False
9,2013-12-10,9.520000000000001,False
10,2013-12-11,11.73,False
11,2013-12-12,9.690000000000001,False
12,2013-12-13,12.41,False
13,2013-12-14,0.0,False
14,2013-12-15,5.1000000000000005,False
15,2013-12-16,7.48,False
16,2013-12-17,5.44,False
17,2013-12-18,5.44,False
18,2013-12-19,10.030000000000001,False
19,2013-12-20,10.540000000000001,False
20,2013-12-21,5.2700000000000005,False
21,2013-12-22,0.0,False
22,2013-12-23,12.920000000000002,False
23,2013-12-24,17.0,False
24,2013-12-25,2.89,False
25,2013-12-26,11.05,False
26,2013-12-27,13.090000000000002,False
27,2013-12-28,3.91,False
28,2013-12-29,2.5500000000000003,False
29,2013-12-30,5.78,False
30,2013-12-31,11.73,False
0,2014-01-01,6.96,False
1,2014-01-02,6.96,False
2,2014-01-03,5.76,False
3,2014-01-04,4.8,False
4,2014-01-05,1.68,False
5,2014-01-06,1.44,False
6,2014-01-07,2.6399999999999997,False
7,2014-01-08,6.72,False
8,2014-01-09,6.72,False
9,2014-01-10,6.96,False
10,2014-01-11,4.56,False
11,2014-01-12,4.56,False
12,2014-01-13,5.04,False
13,2014-01-14,10.32,False
14,2014-01-15,10.559999999999999,False
15,2014-01-16,24.0,False
16,2014-01-17,12.24,False
17,2014-01-18,3.12,False
18,2014-01-19,4.56,False
19,2014-01-20,2.6399999999999997,False
20,2014-01-21,7.68,False
21,2014-01-22,6.4799999999999995,False
22,2014-01-23,1.2,False
23,2014-01-24,5.52,False
24,2014-01-25,0.0,False
25,2014-01-26,1.44,False
26,2014-01-27,10.32,False
27,2014-01-28,8.879999999999999,False
28,2014-01-29,5.279999999999999,False
29,2014-01-30,5.279999999999999,False
30,2014-01-31,4.08,False
0,2014-02-01,5.89,False
1,2014-02-02,5.7,False
2,2014-02-03,17.29,False
3,2014-02-04,17.29,False
4,2014-02-05,18.62,False
5,2014-02-06,3.42,False
6,2014-02-07,9.69,False
7,2014-02-08,8.55,False
8,2014-02-09,11.4,False
9,2014-02-10,9.69,False
10,2014-02-11,11.02,False
11,2014-02-12,12.35,False
12,2014-02-13,8.74,False
13,2014-02-14,6.46,False
14,2014-02-15,7.41,False
15,2014-02-16,4.37,False
16,2014-02-17,6.2700000000000005,False
17,2014-02-18,13.3,False
18,2014-02-19,13.68,False
19,2014-02-20,19.0,False
20,2014-02-21,11.59,False
21,2014-02-22,5.89,False
22,2014-02-23,4.37,False
23,2014-02-24,12.16,False
24,2014-02-25,13.49,False
25,2014-02-26,11.02,False
26,2014-02-27,16.15,False
27,2014-02-28,16.91,False
0,2014-03-01,4.340000000000001,False
1,2014-03-02,6.44,False
2,2014-03-03,8.4,False
3,2014-03-04,6.580000000000001,False
4,2014-03-05,14.000000000000002,False
5,2014-03-06,12.32,False
6,2014-03-07,8.82,False
7,2014-03-08,2.24,False
8,2014-03-09,0.0,False
9,2014-03-10,8.540000000000001,False
10,2014-03-11,4.62,False
11,2014-03-12,9.38,False
12,2014-03-13,8.4,False
13,2014-03-14,5.880000000000001,False
14,2014-03-15,4.48,False
15,2014-03-16,0.0,False
16,2014-03-17,7.420000000000001,False
17,2014-03-18,4.62,False
18,2014-03-19,9.38,False
19,2014-03-20,8.4,False
20,2014-03-21,5.880000000000001,False
21,2014-03-22,4.340000000000001,False
22,2014-03-23,2.1,False
23,2014-03-24,6.44,False
24,2014-03-25,6.44,False
25,2014-03-26,6.44,False
26,2014-03-27,8.4,False
27,2014-03-28,5.880000000000001,False
28,2014-03-29,2.24,False
29,2014-03-30,2.24,False
30,2014-03-31,7.420000000000001,False
0,2014-04-01,8.74,False
1,2014-04-02,2.2800000000000002,False
2,2014-04-03,13.49,False
3,2014-04-04,13.68,False
4,2014-04-05,2.66,False
5,2014-04-06,5.13,False
6,2014-04-07,6.46,False
7,2014-04-08,8.74,False
8,2014-04-09,11.02,False
9,2014-04-10,8.93,False
10,2014-04-11,14.06,False
11,2014-04-12,5.32,False
12,2014-04-13,5.32,False
13,2014-04-14,8.93,False
14,2014-04-15,17.67,False
15,2014-04-16,15.77,False
16,2014-04-17,19.0,False
17,2014-04-18,7.6,False
18,2014-04-19,2.85,False
19,2014-04-20,8.36,False
20,2014-04-21,11.97,False
21,2014-04-22,17.48,False
22,2014-04-23,2.2800000000000002,False
23,2014-04-24,4.37,False
24,2014-04-25,4.75,False
25,2014-04-26,2.66,False
26,2014-04-27,0.0,False
27,2014-04-28,2.2800000000000002,False
28,2014-04-29,4.37,False
