,date,AMZN stock,isPartial
22,2014-02-23,0.32,False
23,2014-02-24,2.16,False
24,2014-02-25,4.4,False
25,2014-02-26,4.08,False
26,2014-02-27,1.36,False
27,2014-02-28,3.2,False
0,2014-03-01,1.98,False
1,2014-03-02,0.6599999999999999,False
2,2014-03-03,3.0,False
3,2014-03-04,4.38,False
4,2014-03-05,6.0,False
5,2014-03-06,2.6399999999999997,False
6,2014-03-07,5.1,False
7,2014-03-08,1.7999999999999998,False
8,2014-03-09,1.08,False
9,2014-03-10,2.28,False
10,2014-03-11,3.7199999999999998,False
11,2014-03-12,2.04,False
12,2014-03-13,5.46,False
13,2014-03-14,4.32,False
14,2014-03-15,1.08,False
15,2014-03-16,0.6599999999999999,False
16,2014-03-17,3.0,False
17,2014-03-18,2.94,False
18,2014-03-19,2.6399999999999997,False
19,2014-03-20,2.28,False
20,2014-03-21,1.56,False
21,2014-03-22,1.08,False
22,2014-03-23,0.84,False
23,2014-03-24,1.7999999999999998,False
24,2014-03-25,3.6599999999999997,False
25,2014-03-26,2.04,False
26,2014-03-27,2.6399999999999997,False
27,2014-03-28,3.12,False
28,2014-03-29,0.42,False
29,2014-03-30,0.8999999999999999,False
30,2014-03-31,3.36,False
0,2014-04-01,2.7300000000000004,False
1,2014-04-02,2.8000000000000003,False
2,2014-04-03,4.2,False
3,2014-04-04,3.5700000000000003,False
4,2014-04-05,1.2600000000000002,False
5,2014-04-06,1.61,False
6,2014-04-07,4.41,False
7,2014-04-08,3.43,False
8,2014-04-09,3.5000000000000004,False
9,2014-04-10,2.45,False
10,2014-04-11,2.9400000000000004,False
11,2014-04-12,0.0,False
12,2014-04-13,0.8400000000000001,False
13,2014-04-14,4.2,False
14,2014-04-15,2.3800000000000003,False
15,2014-04-16,4.62,False
16,2014-04-17,2.24,False
17,2014-04-18,1.9600000000000002,False
18,2014-04-19,0.42000000000000004,False
19,2014-04-20,1.7500000000000002,False
20,2014-04-21,1.8900000000000001,False
21,2014-04-22,1.4000000000000001,False
22,2014-04-23,3.43,False
23,2014-04-24,5.250000000000001,False
24,2014-04-25,7.000000000000001,False
25,2014-04-26,2.5200000000000005,False
26,2014-04-27,3.6400000000000006,False
27,2014-04-28,5.180000000000001,False
28,2014-04-29,6.23,False
29,2014-04-30,3.5000000000000004,False
0,2014-05-01,3.43,False
1,2014-05-02,4.2,False
2,2014-05-03,0.49000000000000005,False
3,2014-05-04,0.0,False
4,2014-05-05,3.08,False
5,2014-05-06,6.510000000000001,False
6,2014-05-07,3.8500000000000005,False
7,2014-05-08,3.99,False
8,2014-05-09,5.250000000000001,False
9,2014-05-10,3.22,False
10,2014-05-11,1.33,False
11,2014-05-12,4.970000000000001,False
12,2014-05-13,6.090000000000001,False
13,2014-05-14,6.090000000000001,False
14,2014-05-15,7.000000000000001,False
15,2014-05-16,6.86,False
16,2014-05-17,0.9100000000000001,False
17,2014-05-18,0.49000000000000005,False
18,2014-05-19,3.08,False
19,2014-05-20,3.43,False
20,2014-05-21,4.2,False
21,2014-05-22,4.2700000000000005,False
22,2014-05-23,5.74,False
23,2014-05-24,2.5900000000000003,False
24,2014-05-25,0.49000000000000005,False
25,2014-05-26,0.42000000000000004,False
26,2014-05-27,2.1,False
27,2014-05-28,4.2,False
28,2014-05-29,3.5000000000000004,False
29,2014-05-30,3.5700000000000003,False
30,2014-05-31,1.05,False
0,2014-06-01,0.7000000000000001,False
1,2014-06-02,1.4000000000000001,False
