,date,HD stock,isPartial
1,2013-12-02,25.419999999999998,False
2,2013-12-03,20.09,False
3,2013-12-04,32.39,False
4,2013-12-05,26.65,False
5,2013-12-06,16.81,False
6,2013-12-07,16.81,False
7,2013-12-08,11.889999999999999,False
8,2013-12-09,18.45,False
9,2013-12-10,13.94,False
10,2013-12-11,20.5,False
11,2013-12-12,25.009999999999998,False
12,2013-12-13,21.73,False
13,2013-12-14,14.76,False
14,2013-12-15,21.73,False
15,2013-12-16,41.0,False
16,2013-12-17,12.299999999999999,False
17,2013-12-18,25.009999999999998,False
18,2013-12-19,23.369999999999997,False
19,2013-12-20,20.09,False
20,2013-12-21,17.63,False
21,2013-12-22,15.17,False
22,2013-12-23,6.97,False
23,2013-12-24,14.76,False
24,2013-12-25,24.599999999999998,False
25,2013-12-26,20.91,False
26,2013-12-27,20.09,False
27,2013-12-28,19.68,False
28,2013-12-29,19.68,False
29,2013-12-30,26.65,False
30,2013-12-31,39.769999999999996,False
0,2014-01-01,15.17,False
1,2014-01-02,19.98,False
2,2014-01-03,36.63,False
3,2014-01-04,32.56,False
4,2014-01-05,13.69,False
5,2014-01-06,35.15,False
6,2014-01-07,35.89,False
7,2014-01-08,29.97,False
8,2014-01-09,21.46,False
9,2014-01-10,22.57,False
10,2014-01-11,25.16,False
11,2014-01-12,26.64,False
12,2014-01-13,26.27,False
13,2014-01-14,28.49,False
14,2014-01-15,37.0,False
15,2014-01-16,24.419999999999998,False
16,2014-01-17,29.97,False
17,2014-01-18,21.83,False
18,2014-01-19,11.47,False
19,2014-01-20,25.53,False
20,2014-01-21,31.08,False
21,2014-01-22,25.16,False
22,2014-01-23,34.04,False
23,2014-01-24,24.79,False
24,2014-01-25,21.46,False
25,2014-01-26,26.27,False
26,2014-01-27,23.68,False
27,2014-01-28,29.23,False
28,2014-01-29,26.64,False
29,2014-01-30,25.53,False
30,2014-01-31,29.6,False
0,2014-02-01,23.779999999999998,False
1,2014-02-02,10.25,False
2,2014-02-03,20.09,False
3,2014-02-04,37.72,False
4,2014-02-05,9.84,False
5,2014-02-06,13.53,False
6,2014-02-07,19.68,False
7,2014-02-08,27.88,False
8,2014-02-09,15.989999999999998,False
9,2014-02-10,23.369999999999997,False
10,2014-02-11,19.68,False
11,2014-02-12,27.47,False
12,2014-02-13,26.24,False
13,2014-02-14,26.24,False
14,2014-02-15,23.779999999999998,False
15,2014-02-16,24.599999999999998,False
16,2014-02-17,18.86,False
17,2014-02-18,17.22,False
18,2014-02-19,30.34,False
19,2014-02-20,19.27,False
20,2014-02-21,27.47,False
21,2014-02-22,18.86,False
22,2014-02-23,21.73,False
23,2014-02-24,18.45,False
24,2014-02-25,27.06,False
25,2014-02-26,41.0,False
26,2014-02-27,30.34,False
27,2014-02-28,41.0,False
0,2014-03-01,29.200000000000003,False
1,2014-03-02,25.200000000000003,False
2,2014-03-03,27.6,False
3,2014-03-04,39.2,False
4,2014-03-05,30.8,False
5,2014-03-06,26.400000000000002,False
6,2014-03-07,27.6,False
7,2014-03-08,34.800000000000004,False
8,2014-03-09,29.200000000000003,False
9,2014-03-10,32.800000000000004,False
10,2014-03-11,40.0,False
11,2014-03-12,38.400000000000006,False
12,2014-03-13,17.2,False
13,2014-03-14,26.0,False
14,2014-03-15,20.0,False
15,2014-03-16,18.0,False
16,2014-03-17,35.6,False
17,2014-03-18,33.6,False
18,2014-03-19,28.0,False
19,2014-03-20,34.4,False
20,2014-03-21,26.0,False
21,2014-03-22,40.0,False
22,2014-03-23,33.6,False
23,2014-03-24,19.6,False
24,2014-03-25,37.6,False
25,2014-03-26,22.8,False
26,2014-03-27,32.800000000000004,False
27,2014-03-28,22.400000000000002,False
28,2014-03-29,27.200000000000003,False
29,2014-03-30,23.6,False
30,2014-03-31,33.6,False
0,2014-04-01,29.64,False
1,2014-04-02,17.48,False
2,2014-04-03,23.18,False
3,2014-04-04,28.12,False
4,2014-04-05,15.96,False
5,2014-04-06,15.58,False
6,2014-04-07,31.92,False
7,2014-04-08,26.98,False
8,2014-04-09,32.68,False
9,2014-04-10,17.86,False
10,2014-04-11,33.44,False
11,2014-04-12,8.36,False
12,2014-04-13,16.34,False
13,2014-04-14,30.02,False
14,2014-04-15,31.16,False
15,2014-04-16,30.78,False
16,2014-04-17,24.7,False
17,2014-04-18,20.52,False
18,2014-04-19,20.14,False
19,2014-04-20,38.0,False
20,2014-04-21,26.6,False
21,2014-04-22,34.96,False
22,2014-04-23,26.98,False
23,2014-04-24,32.68,False
24,2014-04-25,20.14,False
25,2014-04-26,19.38,False
26,2014-04-27,15.58,False
27,2014-04-28,25.46,False
28,2014-04-29,33.82,False
29,2014-04-30,28.88,False
0,2014-05-01,29.97,False
1,2014-05-02,17.759999999999998,False
2,2014-05-03,14.06,False
3,2014-05-04,15.54,False
4,2014-05-05,15.54,False
5,2014-05-06,24.79,False
6,2014-05-07,21.09,False
7,2014-05-08,22.94,False
8,2014-05-09,21.09,False
9,2014-05-10,21.09,False
10,2014-05-11,20.72,False
11,2014-05-12,31.45,False
12,2014-05-13,21.83,False
13,2014-05-14,18.87,False
14,2014-05-15,28.49,False
15,2014-05-16,30.71,False
16,2014-05-17,21.83,False
17,2014-05-18,37.0,False
18,2014-05-19,28.49,False
19,2014-05-20,28.49,False
20,2014-05-21,24.419999999999998,False
21,2014-05-22,11.84,False
22,2014-05-23,27.009999999999998,False
23,2014-05-24,23.68,False
24,2014-05-25,25.16,False
25,2014-05-26,17.02,False
26,2014-05-27,21.46,False
27,2014-05-28,29.6,False
28,2014-05-29,19.98,False
